"NA."	"NA..1"	"NA..2"	"NA..3"	"NA..4"	"NA..5"	"Max.capacity..154230"	"Max.capacity..296250"	"NA..6"
"1"	"Test Number"	"Target Lat"	"Target Long"	"Trajectory Angle"	"Bearing Angle"	"Distance"	"Fuel Required (lbs)"	"Oxidizer Required (lbs)"	"Mission Success"
"125"	"124"	"4.06"	"9.71"	"54.2408532658"	"290.269111974"	"11919.7155781"	"122558.515574"	"235414.382667"	"0"
"126"	"125"	"22.32"	"114.17"	"83.5185666053"	"213.973708768"	"2160.47779824"	"22214.0327215"	"42669.4365153"	"0"
"127"	"126"	"10.54"	"-66.93"	"46.9586158604"	"16.1440058883"	"14347.1280465"	"147517.170574"	"283355.778919"	"0"
"128"	"127"	"10.52"	"7.44"	"55.2016963042"	"296.717243782"	"11599.4345653"	"119265.3862"	"229088.832664"	"0"
"129"	"128"	"44.44"	"26.1"	"66.7701368009"	"311.342549897"	"7743.28773304"	"79616.4844712"	"152929.932728"	"0"
"130"	"129"	"19.6"	"-99.05"	"53.9981481857"	"44.2520667479"	"12000.6172714"	"123390.346785"	"237012.191111"	"0"
"131"	"130"	"43.06"	"141.34"	"85.8658940597"	"66.0988276009"	"1378.03531344"	"14168.9590928"	"27216.1974405"	"0"
"132"	"131"	"4.81"	"7.01"	"53.7625799838"	"292.790000231"	"12079.1400054"	"124197.717535"	"238563.015106"	"0"
"133"	"132"	"30.25"	"120.17"	"86.691285468"	"209.254880795"	"1102.90484399"	"11340.0676059"	"21782.3706688"	"0"
"134"	"133"	"33.6"	"73.04"	"75.9113119686"	"279.593836608"	"4696.22934378"	"48286.6301128"	"92750.5295397"	"0"
"135"	"134"	"15.38"	"44.21"	"65.3433685952"	"276.979885754"	"8218.87713494"	"84506.4947014"	"162322.823415"	"0"
"136"	"135"	"9.55"	"-13.67"	"50.4670502216"	"313.127341355"	"13177.6499261"	"135492.596541"	"260258.586041"	"0"
"137"	"136"	"-25.42"	"-49.29"	"34.7067305753"	"341.544468597"	"18431.0898082"	"189508.465408"	"364014.023713"	"1"
"138"	"137"	"30.53"	"47.82"	"69.1076702081"	"288.460022505"	"6964.10993064"	"71604.9783068"	"137541.17113"	"0"
"139"	"138"	"-27.46"	"153.02"	"66.2467878604"	"154.577936071"	"7917.73737988"	"81410.1757399"	"156375.313253"	"0"
"140"	"139"	"32.13"	"114.07"	"86.0838277866"	"237.507754345"	"1305.39073781"	"13422.0275661"	"25781.4670716"	"0"
"141"	"140"	"3.59"	"98.67"	"75.6049864114"	"221.649530431"	"4798.33786287"	"49336.509906"	"94767.1727916"	"0"
"142"	"141"	"22.72"	"75.86"	"74.9242680802"	"263.991541892"	"5025.24397327"	"51669.5585331"	"99248.568472"	"0"
"143"	"142"	"-3.12"	"-60.02"	"42.0661484583"	"9.7817722589"	"15977.9505139"	"164285.287184"	"315564.522649"	"1"
"144"	"143"	"6.69"	"-1.63"	"52.215106887"	"300.800345024"	"12594.964371"	"129501.423663"	"248750.546327"	"0"
"145"	"144"	"53.55"	"10"	"65.9238073864"	"325.802141678"	"8025.39753788"	"82517.1374845"	"158501.601373"	"0"
"146"	"145"	"34.02"	"-6.84"	"58.3829079957"	"322.250059561"	"10539.0306681"	"108362.313329"	"208145.855695"	"0"
"147"	"146"	"53.91"	"27.55"	"68.7635122594"	"319.416917798"	"7078.82924686"	"72784.5223163"	"139806.877626"	"0"
"148"	"147"	"25.62"	"85.13"	"77.8236541933"	"260.789928378"	"4058.78193555"	"41732.3958613"	"80160.9432271"	"0"
"149"	"148"	"10.23"	"-67.98"	"46.9367399502"	"17.5301567637"	"14354.4200166"	"147592.146611"	"283499.795328"	"0"
"150"	"149"	"23.24"	"77.4"	"75.4153797395"	"263.511443923"	"4861.54008683"	"49986.3551727"	"96015.4167148"	"0"
"151"	"150"	"-26.28"	"27.84"	"52.6328910416"	"253.324016982"	"12455.7029861"	"128069.538103"	"246000.133976"	"0"
"152"	"151"	"52.26"	"21.02"	"67.3688530442"	"320.272985499"	"7543.71565192"	"77564.484333"	"148988.384125"	"0"
"153"	"152"	"36.07"	"120.32"	"88.2526867115"	"237.109545242"	"582.437762843"	"5988.62507756"	"11503.1458162"	"0"
"154"	"153"	"48.22"	"16.37"	"65.7590880105"	"318.82454452"	"8080.30399651"	"83081.6856921"	"159586.003931"	"0"
"155"	"154"	"3.87"	"11.52"	"54.639668018"	"288.843198893"	"11786.7773273"	"121191.64448"	"232788.852215"	"0"
"156"	"155"	"25.27"	"55.33"	"70.0761868297"	"279.380758166"	"6641.27105678"	"68285.5490058"	"131165.103371"	"0"
"157"	"156"	"19.2"	"72.97"	"73.5188000897"	"262.105033833"	"5493.73330342"	"56486.5658258"	"108501.232743"	"0"
"158"	"157"	"36.23"	"37.17"	"67.5866255899"	"298.975597151"	"7471.12480338"	"76818.1052283"	"147554.714867"	"0"
"159"	"158"	"-6.22"	"106.97"	"73.8229793417"	"205.316486629"	"5392.34021942"	"55444.0421361"	"106498.719334"	"0"
"160"	"159"	"47.51"	"19.08"	"66.080002599"	"317.040912301"	"7973.33246702"	"81981.8044259"	"157473.316224"	"0"
"161"	"160"	"12.65"	"-7.99"	"52.4006694227"	"310.176918605"	"12533.1101924"	"128865.438999"	"247528.926301"	"0"
"162"	"161"	"30.91"	"75.84"	"76.26171861"	"274.443416905"	"4579.42712998"	"47085.6697505"	"90443.6858172"	"0"
"163"	"162"	"-17.82"	"31.05"	"55.0785477774"	"258.768038197"	"11640.4840742"	"119687.457251"	"229899.560466"	"0"
"164"	"163"	"32.68"	"51.68"	"70.4160324782"	"288.698427349"	"6527.98917395"	"67120.7846865"	"128927.786185"	"0"
"165"	"164"	"-25.73"	"28.22"	"52.830032005"	"253.608582646"	"12389.9893317"	"127393.870308"	"244702.289301"	"0"
"166"	"165"	"41.4"	"2.17"	"61.7810973569"	"321.124288285"	"9406.30088105"	"96715.5856589"	"185774.442401"	"0"
"167"	"166"	"-11.66"	"27.48"	"55.4065217478"	"265.980354694"	"11531.1594174"	"118563.38113"	"227740.398494"	"0"
"168"	"167"	"-6.91"	"107.6"	"73.6738959739"	"204.228791251"	"5442.03467538"	"55955.0005322"	"107480.184839"	"0"
"169"	"168"	"20.67"	"-103.35"	"55.0823325112"	"46.9851902183"	"11639.2224963"	"119674.485706"	"229874.644301"	"0"
"170"	"169"	"39.62"	"118.19"	"88.0373437225"	"278.017244916"	"654.218759182"	"6726.67728191"	"12920.8204938"	"0"
"171"	"170"	"2.05"	"45.33"	"62.8850483876"	"265.540837934"	"9038.31720413"	"92931.9774928"	"178506.764781"	"0"
"172"	"171"	"33.54"	"-112.07"	"60.0420297545"	"44.8744317558"	"9985.99008182"	"102675.950021"	"197223.304116"	"0"
"173"	"172"	"33.5"	"36.32"	"66.8927901702"	"296.928661703"	"7702.40327658"	"79196.1104898"	"152122.464713"	"0"
"174"	"173"	"-0.19"	"-78.5"	"44.8834594638"	"35.7071112415"	"15038.8468454"	"154629.423264"	"297017.225196"	"1"
"175"	"174"	"27.19"	"78.01"	"76.2533724788"	"268.102180882"	"4582.20917374"	"47114.2747244"	"90498.6311814"	"0"
"176"	"175"	"43.8"	"87.58"	"80.4052598779"	"291.992635071"	"3198.24670738"	"32884.3726452"	"63165.3724707"	"0"
"177"	"176"	"7.11"	"125.63"	"79.3474704109"	"180.247921197"	"3550.84319638"	"36509.7697452"	"70129.1531285"	"0"
"178"	"177"	"-17.77"	"-63.21"	"37.5135955914"	"22.6745374576"	"17495.4681362"	"179888.403376"	"345535.49569"	"1"
"179"	"178"	"-18.89"	"47.51"	"58.9387031472"	"248.077951365"	"10353.7656176"	"106457.41808"	"204486.870948"	"0"
